Country,Year,AvgTemp,Country_CO2,Year_CO2,co2,co2_per_capita,total_ghg
Brazil,1997,22.88038219696968,Brazil,1997,306.949,1.842,2696.838
Israel,1985,19.618314814814816,Israel,1985,24.613,5.995,30.503
Bangladesh,1987,25.91487280701754,Bangladesh,1987,11.8,0.112,100.755
Haiti,2012,27.121533333333332,Haiti,2012,2.262,0.225,22.169
Mozambique,1979,23.714777777777783,Mozambique,1979,2.635,0.239,39.31
Zambia,1995,22.10586458333334,Zambia,1995,2.142,0.244,64.292
Cuba,2009,26.199375000000003,Cuba,2009,28.261,2.502,41.802
Argentina,2010,17.410888020833337,Argentina,2010,186.121,4.508,479.33
Ireland,1976,9.602666666666668,Ireland,1976,22.29,6.904,56.78
Tanzania,1986,22.92764583333334,Tanzania,1986,2.278,0.098,99.207
Russia,1979,6.665930343511451,Russia,1979,2049.709,14.873,2928.791
Honduras,1999,24.5032,Honduras,1999,4.705,0.735,22.37
Turkey,2010,15.681119999999998,Turkey,2010,318.71,4.345,397.616
Uzbekistan,2008,13.033531249999998,Uzbekistan,2008,128.387,4.669,182.949
Uzbekistan,2011,13.036739583333334,Uzbekistan,2011,116.755,4.051,171.449
Kazakhstan,2007,12.305710526315792,Kazakhstan,2007,225.712,13.884,267.572
Latvia,1981,5.916166666666666,Latvia,1981,22.965,9.113,31.403
United Kingdom,1974,9.314254901960783,United Kingdom,1974,617.187,10.977,807.381
Pakistan,1976,23.657292372881358,Pakistan,1976,22.789,0.318,102.003
Pakistan,1986,23.956114406779673,Pakistan,1986,49.059,0.483,164.523
Japan,2001,14.025456625357496,Japan,2001,1245.935,9.79,1296.37
United States,1977,14.729711111111108,United States,1977,4749.501,21.273,6233.118
Madagascar,1998,23.108041666666665,Madagascar,1998,1.619,0.105,182.695
Madagascar,2008,22.65736111111111,Madagascar,2008,1.787,0.085,75.375
Italy,1991,12.737686507936507,Italy,1991,437.742,7.67,496.048
Colombia,2006,23.42346794871795,Colombia,2006,62.466,1.463,200.174
Germany,2006,10.12936983471074,Germany,2006,886.434,10.85,1010.108
Argentina,1977,17.734093750000003,Argentina,1977,100.729,3.772,294.606
Latvia,2007,7.34175,Latvia,2007,8.637,3.925,13.428
Cameroon,1996,24.99205,Cameroon,1996,5.975,0.445,68.51
Honduras,2009,24.827683333333333,Honduras,2009,8.03,0.981,32.705
Canada,2009,6.497305309734513,Canada,2009,541.13,15.997,798.718
Peru,1994,18.181342857142855,Peru,1994,24.177,1.012,123.185
Greece,1986,16.752880952380956,Greece,1986,58.275,5.776,78.777
Djibouti,2001,29.812916666666666,Djibouti,2001,0.366,0.475,1.515
Poland,1994,9.195791666666667,Poland,1994,359.991,9.388,484.039
Ukraine,1979,8.449371527777778,Ukraine,1979,648.771,13.048,837.358
Libya,1995,20.50405833333333,Libya,1995,54.596,11.126,108.966
Serbia,1987,10.152930555555555,Serbia,1987,56.298,7.14,73.711
Norway,1989,6.996173913043477,Norway,1989,34.148,8.079,46.433
Cambodia,1987,27.647000000000002,Cambodia,1987,0.436,0.066,146.197
Bolivia,1978,11.70042857142857,Bolivia,1978,5.021,0.912,85.328
United Kingdom,1993,9.23799019607843,United Kingdom,1993,579.613,10.017,745.05
Spain,1998,15.472433333333335,Spain,1998,273.65,6.737,330.727
Belgium,2011,11.544238095238095,Belgium,2011,105.159,9.526,127.768
Israel,1991,19.41,Israel,1991,36.148,7.563,42.481
Israel,1998,20.340185185185184,Israel,1998,56.01,9.673,63.945
Vietnam,1991,25.43401944444444,Vietnam,1991,21.376,0.32,168.349
Haiti,1979,26.6052,Haiti,1979,0.75,0.136,8.467
Tanzania,1996,23.072046875,Tanzania,1996,2.527,0.082,93.821
Afghanistan,2009,14.838124999999998,Afghanistan,2009,6.388,0.233,25.67
Djibouti,1990,29.643166666666673,Djibouti,1990,0.297,0.512,1.32
Uzbekistan,1993,11.857572916666667,Uzbekistan,1993,115.619,5.258,154.677
Thailand,1977,27.134162698412695,Thailand,1977,31.878,0.744,352.531
Hong Kong,1984,21.141166666666667,Hong Kong,1984,22.225,4.181,25.533
Laos,1984,24.236416666666667,Laos,1984,0.183,0.05,25.472
Morocco,2005,18.141358333333336,Morocco,2005,44.661,1.471,68.406
Malaysia,2012,27.2347109375,Malaysia,2012,212.994,7.18,448.654
Israel,1999,20.324768518518518,Israel,1999,54.756,9.209,62.934
South Africa,2007,17.11581939799331,South Africa,2007,465.034,9.203,588.225
Germany,1992,9.833431677018636,Germany,1992,969.464,11.978,1166.562
Zambia,1974,20.395843749999997,Zambia,1974,4.197,0.867,51.53
Zambia,2007,21.423312499999998,Zambia,2007,2.298,0.183,96.105
Taiwan,1987,22.205725000000008,Taiwan,1987,90.519,4.522,104.141
Algeria,1995,18.736749999999997,Algeria,1995,95.906,3.369,174.484
Syria,2000,18.809666666666665,Syria,2000,54.527,3.277,93.023
Netherlands,1998,10.127590277777779,Netherlands,1998,176.396,11.145,229.973
Australia,2013,17.867892857142856,Australia,2013,397.85,17.122,693.835
Guatemala,1999,19.444583333333327,Guatemala,1999,8.874,0.777,87.769
Peru,1990,17.513012000000003,Peru,1990,21.401,0.972,113.368
Peru,1996,17.197495999999997,Peru,1996,24.717,0.996,115.396
Djibouti,2012,30.265416666666667,Djibouti,2012,0.293,0.303,1.624
Benin,1986,27.08783333333334,Benin,1986,0.624,0.133,12.105
Senegal,2013,26.572765625000002,Senegal,2013,7.853,0.573,22.045
Libya,2007,21.003458333333334,Libya,2007,44.392,7.272,84.49
Kazakhstan,1978,8.52404,Kazakhstan,1978,219.992,14.954,371.208
Tunisia,2007,20.0362,Tunisia,2007,24.725,2.368,39.009
Morocco,2004,18.20473333333333,Morocco,2004,42.226,1.41,67.345
Iran,1982,15.141858441558444,Iran,1982,138.132,3.12,239.328
Ecuador,2005,21.227358974358975,Ecuador,2005,30.652,2.214,72.371
India,2009,26.6048949051375,India,2009,1613.328,1.316,2738.05
Philippines,2002,27.160029487179482,Philippines,2002,69.492,0.837,193.111
Romania,2009,10.624883333333333,Romania,2009,87.806,4.267,130.857
Colombia,2012,23.412630341880345,Colombia,2012,78.675,1.721,477.15
Lebanon,2009,19.992472222222222,Lebanon,2009,20.958,4.198,23.862
Germany,1985,7.8946358024691365,Germany,1985,1043.913,13.407,1269.186
Zambia,1987,21.949760416666663,Zambia,1987,2.674,0.372,54.424
Algeria,2012,19.138183333333334,Algeria,2012,135.593,3.602,203.436
Tanzania,1975,22.643656250000003,Tanzania,1975,2.282,0.141,72.173
Cameroon,1984,24.833883333333333,Cameroon,1984,6.053,0.639,64.532
Honduras,2013,25.03504444444445,Honduras,2013,9.328,1.049,29.677
Poland,2008,9.677429824561402,Poland,2008,329.428,8.67,398.639
Dominican Republic,1974,25.772361111111113,Dominican Republic,1974,6.41,1.304,26.799
Uzbekistan,1995,13.31121875,Uzbekistan,1995,104.804,4.573,147.166
Thailand,1987,27.359166666666667,Thailand,1987,53.814,1.033,298.281
Chad,1976,27.276083333333332,Chad,1976,0.183,0.043,17.866
Kazakhstan,2003,10.119030769230768,Kazakhstan,2003,175.022,11.114,194.207
Togo,1983,27.260250000000003,Togo,1983,0.624,0.193,7.01
Tunisia,1988,19.72011666666667,Tunisia,1988,13.436,1.685,22.521
Latvia,1975,7.559875000000001,Latvia,1975,20.094,8.182,28.035
United Kingdom,1989,10.332594362745096,United Kingdom,1989,581.561,10.17,761.676
Japan,1986,13.16869637750238,Japan,1986,914.049,7.531,996.115
Brazil,1974,21.99036174242423,Brazil,1974,142.981,1.361,1525.418
Israel,1986,19.395166666666665,Israel,1986,26.348,6.32,32.172
Greece,2002,17.253357142857144,Greece,2002,105.0,9.642,122.19
Poland,1977,8.306746666666667,Poland,1977,417.962,12.07,619.535
Guinea,1979,25.9908125,Guinea,1979,0.945,0.191,18.015
Libya,1976,19.636416666666666,Libya,1976,17.888,6.573,87.679
Norway,1982,6.351875,Norway,1982,30.912,7.513,42.425
Bulgaria,1984,10.882452380952381,Bulgaria,1984,87.045,9.723,115.329
Hong Kong,1982,21.745916666666673,Hong Kong,1982,19.623,3.81,22.781
Togo,1976,26.332624999999997,Togo,1976,0.322,0.122,3.206
Bolivia,1982,11.812985507246378,Bolivia,1982,4.341,0.721,67.456
Sweden,1995,6.82721568627451,Sweden,1995,59.487,6.74,73.155
Pakistan,2003,24.636382768361578,Pakistan,2003,113.142,0.677,277.715
Japan,1974,13.24480200860832,Japan,1974,914.306,8.163,1022.571
United States,1979,14.166366100587858,United States,1979,4908.766,21.57,6333.599
Malaysia,2010,27.501,Malaysia,2010,199.346,6.957,386.12
Brazil,1999,22.443971212121205,Brazil,1999,327.256,1.907,2965.704
Afghanistan,1978,15.212729411764709,Afghanistan,1978,2.153,0.158,19.846
Armenia,2010,12.078000000000003,Armenia,2010,4.256,1.452,8.032
Greece,1983,16.130369047619048,Greece,1983,54.789,5.528,76.208
Greece,1999,17.69497619047619,Greece,1999,97.934,9.129,116.077
Poland,1976,8.196648325358849,Poland,1976,398.126,11.608,598.808
Sudan,2013,29.582425,Sudan,2013,17.374,0.46,144.822
Serbia,2010,11.020513888888887,Serbia,2010,45.694,6.178,42.878
Nigeria,1979,26.947252747252744,Nigeria,1979,70.143,0.981,356.645
India,1995,25.97076124493712,India,1995,760.48,0.792,1712.603
Belgium,2002,11.283761904761905,Belgium,2002,126.883,12.279,151.02
Brazil,1996,22.506794162244123,Brazil,1996,289.311,1.762,2586.919
Egypt,2004,22.406478070175442,Egypt,2004,151.917,1.911,225.003
Romania,1990,10.802431506849317,Romania,1990,176.535,7.696,226.29
Colombia,1974,22.47367948717949,Colombia,1974,36.396,1.594,174.667
Cuba,1993,26.058880952380953,Cuba,1993,19.79,1.825,52.435
Ireland,2004,10.195500000000001,Ireland,2004,46.167,11.354,80.752
Peru,1997,19.72203703703704,Peru,1997,27.747,1.098,120.198
Serbia,1985,9.654180555555556,Serbia,1985,55.244,7.009,73.218
Panama,1977,27.143166666666662,Panama,1977,4.579,2.514,20.946
Panama,1988,27.09008333333333,Panama,1988,2.905,1.235,26.156
Hong Kong,1974,21.543000000000003,Hong Kong,1974,10.667,2.463,13.062
